rank,feature,importance
1,EXT_SOURCE_3,0.034618415
2,EXT_SOURCE_2,0.027970143
3,NAME_EDUCATION_TYPE_Higher education,0.019647725
4,CODE_GENDER_F,0.017269192
5,cc_high_utilization_ratio,0.012235896
6,FLAG_DOCUMENT_3_0,0.011379084
7,NAME_INCOME_TYPE_Pensioner,0.011188336
8,late_payment_ratio,0.010874874
9,CODE_GENDER_M,0.009829734
10,WALLSMATERIAL_MODE_Panel,0.009530102
11,EXT_SOURCE_1,0.009430803
12,prev_refusal_ratio,0.0090269605
13,DEF_60_CNT_SOCIAL_CIRCLE_0.0,0.008365531
14,NAME_INCOME_TYPE_Working,0.008210541
15,cc_avg_drawings,0.007934727
16,REG_CITY_NOT_LIVE_CITY_0,0.007696329
17,cc_avg_utilization_ratio,0.0075901747
18,NAME_EDUCATION_TYPE_Secondary / secondary special,0.00721488
19,FLAG_OWN_CAR_N,0.0071168123
20,REGION_RATING_CLIENT_W_CITY_3,0.006936434
21,pos_active_loans,0.006334054
22,bureau_debt_to_credit,0.0063082054
23,DAYS_BIRTH,0.006181866
24,cc_max_utilization_ratio,0.0060479394
25,AMT_GOODS_PRICE,0.005962079
26,NAME_CONTRACT_TYPE_Cash loans,0.0058091194
27,total_installment_amount,0.005628148
28,pos_remaining_installments_max,0.0056239287
29,NAME_FAMILY_STATUS_Married,0.005621218
30,pos_remaining_installments_mean,0.005559856
