rank,feature,importance
1,EXT_SOURCE_3,0.03649035
2,EXT_SOURCE_2,0.03171454
3,NAME_EDUCATION_TYPE_Higher education,0.018787533
4,CODE_GENDER_F,0.014833165
5,NAME_INCOME_TYPE_Working,0.013341991
6,cc_high_utilization_ratio,0.0125965
7,late_payment_ratio,0.010938734
8,NAME_INCOME_TYPE_Pensioner,0.010642912
9,FLAG_DOCUMENT_3_0,0.010072172
10,EXT_SOURCE_1,0.009922959
11,CODE_GENDER_M,0.009650633
12,cc_avg_drawings,0.008617663
13,prev_refusal_ratio,0.00842985
14,DEF_60_CNT_SOCIAL_CIRCLE_0.0,0.008335408
15,REGION_RATING_CLIENT_W_CITY_3,0.008207784
16,NAME_EDUCATION_TYPE_Secondary / secondary special,0.007835279
17,REG_CITY_NOT_LIVE_CITY_0,0.0075518824
18,FLAG_OWN_CAR_N,0.0073719225
19,bureau_debt_to_credit,0.007093751
20,NAME_CONTRACT_TYPE_Cash loans,0.0069698705
21,AMT_REQ_CREDIT_BUREAU_QRT_1.0,0.006621185
22,DAYS_BIRTH,0.006438645
23,prev_approval_ratio,0.0064129373
24,total_installment_amount,0.0062825996
25,AMT_GOODS_PRICE,0.0062444042
26,cc_max_utilization_ratio,0.0061956528
27,cc_active_months,0.0060190405
28,ELEVATORS_MEDI,0.005931832
29,NAME_FAMILY_STATUS_Married,0.0058013904
30,prev_revolving_loans_count,0.005795599
