rank,feature,importance
1,EXT_SOURCE_3,0.03550003
2,EXT_SOURCE_2,0.028101875
3,NAME_EDUCATION_TYPE_Higher education,0.020751882
4,FLAG_EMP_PHONE_0,0.017044773
5,CODE_GENDER_F,0.015014284
6,cc_high_utilization_ratio,0.013096733
7,CODE_GENDER_M,0.01294516
8,NAME_INCOME_TYPE_Pensioner,0.011737791
9,late_payment_ratio,0.010406334
10,FLAG_DOCUMENT_3_0,0.009779306
11,EXT_SOURCE_1,0.0092368685
12,NAME_INCOME_TYPE_Working,0.009077161
13,DEF_60_CNT_SOCIAL_CIRCLE_0.0,0.0086638685
14,prev_refusal_ratio,0.008441177
15,FLAG_OWN_CAR_N,0.007526012
16,cc_avg_drawings,0.0074698403
17,AMT_GOODS_PRICE,0.006980752
18,NAME_EDUCATION_TYPE_Lower secondary,0.006777895
19,REG_CITY_NOT_LIVE_CITY_0,0.0065281484
20,pos_active_loans,0.006440429
21,bureau_debt_to_credit,0.006276028
22,cc_avg_utilization_ratio,0.0062695392
23,NAME_FAMILY_STATUS_Married,0.006067027
24,pos_remaining_installments_max,0.005949727
25,cc_max_utilization_ratio,0.00594664
26,DAYS_BIRTH,0.0059106946
27,NAME_EDUCATION_TYPE_Secondary / secondary special,0.005804585
28,total_installment_amount,0.0055979146
29,cc_active_months,0.005597299
30,REGION_RATING_CLIENT_W_CITY_3,0.0055768355
